design,PGIdef,outcome,model_def,term,estimate,std.error,statistic,p.value,conf.low,conf.high,method,effect,group
Std,Cog/NonCog,Math5th,child_model,(Intercept),0.335758449569822,0.0196578467602327,17.0801234573184,3.74061821855819e-65,0.29722850061263,0.374288398527014,OLS,,
Std,Cog/NonCog,Math5th,child_model,child_Cog,0.250233934419621,0.00491949117098556,50.8658163461019,0,0.240591589252048,0.259876279587195,OLS,,
Std,Cog/NonCog,Math5th,child_model,child_NonCog,0.123960692596436,0.00493514541661651,25.1179412422303,4.72754491321238e-138,0.114287664654066,0.133633720538806,OLS,,
Std,Cog/NonCog,Math5th,child_model,child_female,-0.1574725035264,0.00953882370367313,-16.508587265929,5.29851556659397e-61,-0.176168874237646,-0.138776132815154,OLS,,
Std,Cog/NonCog,Math5th,child_model,as.factor(child_cohort)2003,-0.122917646460021,0.0232288337409015,-5.29159784047128,0.000000121950756899292,-0.168446833317993,-0.0773884596020478,OLS,,
Std,Cog/NonCog,Math5th,child_model,as.factor(child_cohort)2004,-0.20662997712333,0.0226695397852278,-9.11487304466485,8.26620055292006e-20,-0.251062931630578,-0.162197022616083,OLS,,
Std,Cog/NonCog,Math5th,child_model,as.factor(child_cohort)2005,-0.20953094891089,0.0223913532036252,-9.35767244638733,8.60017346752311e-21,-0.253418649661687,-0.165643248160092,OLS,,
Std,Cog/NonCog,Math5th,child_model,as.factor(child_cohort)2006,-0.216456172102389,0.0219855800041996,-9.84537010445223,7.6636271152585e-23,-0.259548545630793,-0.173363798573986,OLS,,
Std,Cog/NonCog,Math5th,child_model,as.factor(child_cohort)2007,-0.261789354894008,0.0224269529705337,-11.6729791709987,1.9923377313166e-31,-0.305746832218944,-0.217831877569071,OLS,,
Std,Cog/NonCog,Math5th,child_model,as.factor(child_cohort)2008,-0.0193625007161145,0.0227444390016243,-0.851307025630822,0.394604406471594,-0.0639422598566408,0.0252172584244118,OLS,,
Std,Cog/NonCog,Math5th,child_model,as.factor(child_cohort)2009,1.40087203494363,0.456092276778689,3.07146624985142,0.00213166843034813,0.506917963656313,2.29482610623095,OLS,,
Std,Cog/NonCog,Math5th,child_model,child_PC1,-1.60938916373071,0.256529953159229,-6.27368907182451,0.000000000356539561674635,-2.11219530123765,-1.10658302622377,OLS,,
Std,Cog/NonCog,Math5th,child_model,child_PC2,-0.731864773180928,0.310418784761524,-2.35766908804561,0.018395322883014,-1.3402945812925,-0.123434965069357,OLS,,
Std,Cog/NonCog,Math5th,child_model,child_PC3,0.17670510629003,0.363143647136807,0.486598368671063,0.626545900644495,-0.535066959031738,0.888477171611799,OLS,,
Std,Cog/NonCog,Math5th,child_model,child_PC4,0.913114340821588,0.395618948792504,2.30806523198286,0.0210010695891625,0.137689743743661,1.68853893789952,OLS,,
Std,Cog/NonCog,Math5th,child_model,child_PC5,-0.53552967915866,0.394449939749701,-1.35766196211991,0.17457936267423,-1.30866298465725,0.237603626339927,OLS,,
Std,Cog/NonCog,Math5th,child_model,child_PC6,1.23130087484425,0.482020705903809,2.55445639526108,0.010639396313958,0.286526331563418,2.17607541812508,OLS,,
Std,Cog/NonCog,Math5th,child_model,child_PC7,-0.668768383560962,0.485490641997304,-1.3775103487261,0.168362961169882,-1.62034410207719,0.28280733495527,OLS,,
Std,Cog/NonCog,Math5th,child_model,child_PC8,-3.32772901469551,0.528793857716356,-6.29305534876408,0.000000000314804453632619,-4.36418029011722,-2.29127773927379,OLS,,
Std,Cog/NonCog,Math5th,child_model,child_PC9,-0.300502928548799,0.54210550292432,-0.554325545355606,0.579359465922645,-1.36304541409413,0.762039556996531,OLS,,
Std,Cog/NonCog,Math5th,child_model,child_PC10,1.53036641542333,0.601099983293719,2.54594320072629,0.0109023642130437,0.352193039826128,2.70853979102053,OLS,,
Std,Cog/NonCog,Math8th,child_model,(Intercept),0.0126105867387555,0.0170377084816452,0.740157442671409,0.459213859271051,-0.0207848930470788,0.0460060665245898,OLS,,
Std,Cog/NonCog,Math8th,child_model,child_Cog,0.232381559993837,0.00582245864869688,39.9112426579184,0,0.220969004114278,0.243794115873396,OLS,,
Std,Cog/NonCog,Math8th,child_model,child_NonCog,0.135715676791587,0.00578936327648162,23.4422457721579,8.80186315222955e-120,0.124367990893517,0.147063362689657,OLS,,
Std,Cog/NonCog,Math8th,child_model,child_female,-0.120306192514299,0.0112620848276119,-10.682408661968,1.47052730949007e-26,-0.142380917329086,-0.0982314676995133,OLS,,
Std,Cog/NonCog,Math8th,child_model,as.factor(child_cohort)2003,-0.134138481514061,0.0195261356539513,-6.86968911264926,0.00000000000663881254258828,-0.172411508032239,-0.0958654549958838,OLS,,
Std,Cog/NonCog,Math8th,child_model,as.factor(child_cohort)2004,-0.18906378075237,0.0190775835660063,-9.91025829336461,4.28906237474345e-23,-0.226457603814167,-0.151669957690572,OLS,,
Std,Cog/NonCog,Math8th,child_model,as.factor(child_cohort)2005,0.00973218507672767,0.0188393620498418,0.516587825584539,0.605450090646467,-0.0271947018453775,0.0466590719988329,OLS,,
Std,Cog/NonCog,Math8th,child_model,as.factor(child_cohort)2006,0.176895523972106,0.143271342855381,1.23468881108112,0.216962022607946,-0.103929520039576,0.457720567983788,OLS,,
Std,Cog/NonCog,Math8th,child_model,child_PC1,-1.40557198143433,0.293833699352853,-4.7835628946918,0.00000173542263742931,-1.98151312854965,-0.829630834319016,OLS,,
Std,Cog/NonCog,Math8th,child_model,child_PC2,-0.544313689990385,0.35810358949492,-1.51998948337295,0.128530707426451,-1.24622974854344,0.157602368562667,OLS,,
Std,Cog/NonCog,Math8th,child_model,child_PC3,-0.458167042115687,0.419116873994794,-1.09317250281213,0.274332301009207,-1.27967476473424,0.363340680502868,OLS,,
Std,Cog/NonCog,Math8th,child_model,child_PC4,0.0122059318246208,0.472775129419281,0.0258176267427891,0.979403080874491,-0.914476919614928,0.93888878326417,OLS,,
Std,Cog/NonCog,Math8th,child_model,child_PC5,-0.413687667675021,0.459064066879633,-0.901154539249726,0.367517888665287,-1.31349557214747,0.486120236797429,OLS,,
Std,Cog/NonCog,Math8th,child_model,child_PC6,1.52463586579034,0.576272174661717,2.64568711249217,0.00815941166811409,0.395089261516258,2.65418247006443,OLS,,
Std,Cog/NonCog,Math8th,child_model,child_PC7,-0.554912691620123,0.56717444696085,-0.978380980655192,0.327898724227345,-1.66662691063779,0.556801527397539,OLS,,
Std,Cog/NonCog,Math8th,child_model,child_PC8,-2.29365659846407,0.612807641904859,-3.74286552846247,0.000182483978450264,-3.49481608771613,-1.09249710921201,OLS,,
Std,Cog/NonCog,Math8th,child_model,child_PC9,0.737959019369209,0.622287101800341,1.18588191404613,0.235684166317128,-0.481781085442817,1.95769912418123,OLS,,
Std,Cog/NonCog,Math8th,child_model,child_PC10,1.48676713481978,0.706080229777855,2.10566316987454,0.0352470613946284,0.102784772043337,2.87074949759622,OLS,,
Std,Cog/NonCog,Math9th,child_model,(Intercept),-0.0092471611460621,0.0185507892226125,-0.498478045062917,0.618155969372285,-0.0456095843801283,0.0271152620880042,OLS,,
Std,Cog/NonCog,Math9th,child_model,child_Cog,0.232685128506271,0.00752624565127099,30.9164939981698,2.96845859370306e-202,0.217932520061911,0.247437736950632,OLS,,
Std,Cog/NonCog,Math9th,child_model,child_NonCog,0.141341305172039,0.007496030642118,18.8554865795083,3.26421629953831e-78,0.126647922830549,0.156034687513528,OLS,,
Std,Cog/NonCog,Math9th,child_model,child_female,-0.116218682520056,0.0145487286273178,-7.98823632615124,1.48914809164572e-15,-0.144736446455364,-0.0877009185847491,OLS,,
Std,Cog/NonCog,Math9th,child_model,as.factor(child_cohort)2003,-0.0357520740330412,0.0206860350748584,-1.72831931801633,0.0839558517444281,-0.0762999102140405,0.00479576214795822,OLS,,
Std,Cog/NonCog,Math9th,child_model,as.factor(child_cohort)2004,0.168097404941859,0.0202278846257484,8.31018211009001,1.05438375808166e-16,0.128447614678772,0.207747195204946,OLS,,
Std,Cog/NonCog,Math9th,child_model,as.factor(child_cohort)2005,0.60120384332247,0.225559293484989,2.6653915874341,0.00769982121334351,0.159072654419711,1.04333503222523,OLS,,
Std,Cog/NonCog,Math9th,child_model,as.factor(child_cohort)2006,1.05230324865934,0.573570091429014,1.834655021913,0.0665807313744458,-0.0719830643736945,2.17658956169237,OLS,,
Std,Cog/NonCog,Math9th,child_model,child_PC1,-1.05729223925677,0.375223581834892,-2.81776596792364,0.00484354550500159,-1.79278863924019,-0.321795839273354,OLS,,
Std,Cog/NonCog,Math9th,child_model,child_PC2,-1.37064346080056,0.456529979774715,-3.00230767205461,0.00268474331444542,-2.2655130075567,-0.475773914044425,OLS,,
Std,Cog/NonCog,Math9th,child_model,child_PC3,-0.776007465439158,0.533470007585707,-1.45464122519481,0.145793888885913,-1.8216913964962,0.269676465617884,OLS,,
Std,Cog/NonCog,Math9th,child_model,child_PC4,-0.721440537414727,0.609622733482718,-1.18342131582463,0.236664869438636,-1.91639561894765,0.473514544118197,OLS,,
Std,Cog/NonCog,Math9th,child_model,child_PC5,-0.364503455689693,0.589795568693046,-0.618016606156286,0.536575726864056,-1.5205942199711,0.791587308591714,OLS,,
Std,Cog/NonCog,Math9th,child_model,child_PC6,1.39909945703573,0.750061314168993,1.86531344918891,0.0621610478716784,-0.0711370180823843,2.86933593215384,OLS,,
Std,Cog/NonCog,Math9th,child_model,child_PC7,0.0126908985566578,0.739181414172387,0.0171688550514585,0.986302184439042,-1.43621928560567,1.46160108271899,OLS,,
Std,Cog/NonCog,Math9th,child_model,child_PC8,-2.15005118155063,0.784911066089732,-2.73922903426721,0.00616713351207216,-3.68859857399615,-0.611503789105099,OLS,,
Std,Cog/NonCog,Math9th,child_model,child_PC9,1.20681591507435,0.799490928484847,1.50948043570856,0.13120149535597,-0.360310268318753,2.77394209846745,OLS,,
Std,Cog/NonCog,Math9th,child_model,child_PC10,1.88591306137576,0.914280888469924,2.06272829844655,0.0391591968983697,0.093780757870479,3.67804536488105,OLS,,
Std,Cog/NonCog,Reading5th,child_model,(Intercept),0.00390365521976028,0.0200493813104301,0.194702028921437,0.845627318558394,-0.0353937269704926,0.0432010374100131,OLS,,
Std,Cog/NonCog,Reading5th,child_model,child_Cog,0.240019293268922,0.00503578745198849,47.6627132414305,0,0.230149000462095,0.249889586075749,OLS,,
Std,Cog/NonCog,Reading5th,child_model,child_NonCog,0.138035404755451,0.00505089949445571,27.3288757590544,8.77072261108383e-163,0.128135491897046,0.147935317613855,OLS,,
Std,Cog/NonCog,Reading5th,child_model,child_female,0.123457833486686,0.00975708123927301,12.6531521526908,1.28555485776802e-36,0.104333664786199,0.142582002187173,OLS,,
Std,Cog/NonCog,Reading5th,child_model,as.factor(child_cohort)2003,0.469307708292732,0.0237406835807276,19.7680789896762,1.61002716721673e-86,0.422775264139736,0.515840152445728,OLS,,
Std,Cog/NonCog,Reading5th,child_model,as.factor(child_cohort)2004,0.0777464658441639,0.0231535020215024,3.35787069152484,0.000786264417749569,0.032364914967657,0.123128016720671,OLS,,
Std,Cog/NonCog,Reading5th,child_model,as.factor(child_cohort)2005,0.328088678779725,0.0228902252588669,14.3331345615585,1.82252973620933e-46,0.283223158168836,0.372954199390614,OLS,,
Std,Cog/NonCog,Reading5th,child_model,as.factor(child_cohort)2006,0.118950212419741,0.0224152187139317,5.30667195077648,0.00000011230219330319,0.0750157187293429,0.162884706110139,OLS,,
